2020-03-12|08:22:19|Paycheck|Direct Deposit|+1850.00
2020-05-04|14:11:42|Groceries|Walmart|-72.35
2020-08-29|19:47:03|Gas|Shell|-38.60
2021-01-15|09:12:18|Paycheck|Direct Deposit|+1925.00
2021-04-23|13:55:31|Rent|Landlord|-950.00
2021-09-02|18:41:09|Food|Olive Garden|-42.75
2022-02-11|07:44:50|Paycheck|Direct Deposit|+2010.00
2022-03-19|15:28:17|Clothes|UNIQLO|-88.20
2022-07-05|10:17:26|Subscription|Apple Music|-9.99
2022-12-01|08:10:03|Paycheck|Direct Deposit|+2050.00
2023-01-28|17:22:14|Electronics|Best Buy|-245.99
2023-05-12|12:39:57|Food|Subway|-6.75
2023-09-16|09:07:25|Paycheck|Direct Deposit|+2100.00
2024-02-22|18:48:32|Groceries|Trader Joe's|-58.40
2024-06-11|08:15:44|Paycheck|Direct Deposit|+2185.00
2024-07-03|20:21:09|Concert|Ticketmaster|-120.00
2024-12-19|07:59:33|Paycheck|Direct Deposit|+2250.00
2025-03-14|13:31:51|Subscription|AT&T|-85.62
2025-07-22|09:02:16|Paycheck|Direct Deposit|+2300.00
2025-10-05|20:44:08|Food|Chipotle|-19.84